RUA ARI RODRIGUES                                                       ABRAHÃO ALAB                                                            RIO BRANCO                                                              ACRE                                                                    AC69907190 
RUA MANOEL RODRIGUES DE SOUSA                                           BOSQUE                                                                  RIO BRANCO                                                              ACRE                                                                    AC69908140 
RUA J                                                                   FLORESTA                                                                RIO BRANCO                                                              ACRE                                                                    AC69906320 
TRAVESSA SÃO CRISTÓVÃO                                                  NOVO HORIZONTE                                                          RIO BRANCO                                                              ACRE                                                                    AC69906460 
RUA G                                                                   TERMINAL CADEIA VELHA                                                   RIO BRANCO                                                              ACRE                                                                    AC69900580 
RUA CÍCERO TORRES                                                       BRASÍLIA                                                                ARAPIRACA                                                               ALAGOAS                                                                 AL57313170 
RUA MANOEL BISPO MANDÚ                                                  CANAFÍSTULA                                                             ARAPIRACA                                                               ALAGOAS                                                                 AL57302830 
RUA POSSIDÔNIO NUNES                                                    CENTRO                                                                  ARAPIRACA                                                               ALAGOAS                                                                 AL57300545 
RUA LUIZ DE SALES BRASIL                                                MANOEL TELES                                                            ARAPIRACA                                                               ALAGOAS                                                                 AL57305140 
RUA JOSÉ DUARTE ALVES                                                   PLANALTO                                                                ARAPIRACA                                                               ALAGOAS                                                                 AL57309040 
RUA SÃO ROQUE                                                           SÃO LUIZ                                                                ARAPIRACA                                                               ALAGOAS                                                                 AL57301520 
RUA DEPUTADO ARMANDO MOREIRA SOARES                                     ANTARES                                                                 MACEIÓ                                                                  ALAGOAS                                                                 AL57048355 
AVENIDA ERALDO LINS CAVALCANTE                                          BARRO DURO                                                              MACEIÓ                                                                  ALAGOAS                                                                 AL57045430 
RUA DOUTOR ROSALVO RODRIGUES DE ARAÚJO                                  BENEDITO BENTES                                                         MACEIÓ                                                                  ALAGOAS                                                                 AL57084090 
RUA B-42                                                                BENEDITO BENTES                                                         MACEIÓ                                                                  ALAGOAS                                                                 AL57085734 
PARQUE BARÃO DE ATALAIA                                                 CENTRO                                                                  MACEIÓ                                                                  ALAGOAS                                                                 AL57020515 
RUA UNIÃO DOS PALMARES                                                  CRUZ DAS ALMAS                                                          MACEIÓ                                                                  ALAGOAS                                                                 AL57038030 
RUA TERTULIANO DE BARROS                                                FAROL                                                                   MACEIÓ                                                                  ALAGOAS                                                                 AL57051640 
RUA CÔNEGO MACHADO                                                      IPIOCA                                                                  MACEIÓ                                                                  ALAGOAS                                                                 AL57039815 
RUA DIANA                                                               JACINTINHO                                                              MACEIÓ                                                                  ALAGOAS                                                                 AL57040270 
PRAÇA RAIOL                                                             JARAGUÁ                                                                 MACEIÓ                                                                  ALAGOAS                                                                 AL57022100 
RUA JOÃO LOPES DO CARMO                                                 MANGABEIRAS                                                             MACEIÓ                                                                  ALAGOAS                                                                 AL57037060 
RUA JOSÉ LUIZ SOARES NETO                                               PINHEIRO                                                                MACEIÓ                                                                  ALAGOAS                                                                 AL57055600 
RUA QUINTINO BOCAIÚVA                                                   PONTA DA TERRA                                                          MACEIÓ                                                                  ALAGOAS                                                                 AL57030570 
RUA MANAUS                                                              PRADO                                                                   MACEIÓ                                                                  ALAGOAS                                                                 AL57010160 
LOTEAMENTO RESIDENCIAL MONTE BELLO                                      SERRARIA                                                                MACEIÓ                                                                  ALAGOAS                                                                 AL57046415 
RUA DA PAZ                                                              TABULEIRO DO MARTINS                                                    MACEIÓ                                                                  ALAGOAS                                                                 AL57060560 
RUA DA MANGUEIRA                                                        VERGEL DO LAGO                                                          MACEIÓ                                                                  ALAGOAS                                                                 AL57015330 
TRAVESSA SANTO AMARO                                                    PETRÓPOLIS                                                              MACEIÓ                                                                  ALAGOAS                                                                 AL57062466 
TRAVESSA PADRE CICERO                                                   CLIMA BOM                                                               MACEIÓ                                                                  ALAGOAS                                                                 AL57071221 
RUA DIVALDO SURUAGY                                                     CIDADE UNIVERSITÁRIA                                                    MACEIÓ                                                                  ALAGOAS                                                                 AL57073451 
RUA LUIZ SILVEIRA                                                       CENTRO                                                                  PALMEIRA DOS ÍNDIOS                                                     ALAGOAS                                                                 AL57600025 
AVENIDA HOLANDA                                                         SÃO CRISTÓVÃO                                                           PALMEIRA DOS ÍNDIOS                                                     ALAGOAS                                                                 AL57601280 
AVENIDA DOS GOITACAZES                                                  BEIROL                                                                  MACAPÁ                                                                  AMAPÁ                                                                   AP68902150 
AVENIDA FRANCISCO ALVES CORRÊA                                          JARDIM FELICIDADE                                                       MACAPÁ                                                                  AMAPÁ                                                                   AP68909390 
AVENIDA RAIMUNDO NONATO BANHA CORRÊA                                    MUCA                                                                    MACAPÁ                                                                  AMAPÁ                                                                   AP68902330 
RUA HAMILTON SILVA                                                      TREM                                                                    MACAPÁ                                                                  AMAPÁ                                                                   AP68901140 
TRAVESSA EDILSON BORGES                                                 UNIVERSIDADE                                                            MACAPÁ                                                                  AMAPÁ                                                                   AP68903535 
RUA DO IGARAPÉ                                                          ADRIANÓPOLIS                                                            MANAUS                                                                  AMAZONAS                                                                AM69057142 
BECO SÃO JOAQUIM                                                        ALEIXO                                                                  MANAUS                                                                  AMAZONAS                                                                AM69060053 
BECO MAIA                                                               ALVORADA                                                                MANAUS                                                                  AMAZONAS                                                                AM69043541 
AVENIDA PENETRAÇÃO NORTE                                                ARMANDO MENDES                                                          MANAUS                                                                  AMAZONAS                                                                AM69089210 
BECO DEZESSEIS                                                          CENTRO                                                                  MANAUS                                                                  AMAZONAS                                                                AM69020570 
BECO PENSADOR                                                           CHAPADA                                                                 MANAUS                                                                  AMAZONAS                                                                AM69050101 
RUA JARDIM OLINDA                                                       CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69098112 
RUA PROFESSORA AMÉLIA AYRES                                             CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69090430 
RUA 23                                                                  CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69097754 
RUA 83                                                                  CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69099757 
RUA MANDALA                                                             CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69097418 
RUA CRISTAL                                                             CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69099206 
RUA 1                                                                   CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69098321 
RUA IBIRAPITINGA                                                        CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69095512 
RUA JULIÃO PIRES                                                        CIDADE NOVA                                                             MANAUS                                                                  AMAZONAS                                                                AM69099334 
RUA LAURO ANDRADE                                                       COLÔNIA ANTÔNIO ALEIXO                                                  MANAUS                                                                  AMAZONAS                                                                AM69008290 
RUA MANACAPURÚ                                                          COLÔNIA TERRA NOVA                                                      MANAUS                                                                  AMAZONAS                                                                AM69093495 
RUA PLÁCIDO DE CASTRO                                                   COMPENSA                                                                MANAUS                                                                  AMAZONAS                                                                AM69030740 
AVENIDA CRISTO REI                                                      COROADO                                                                 MANAUS                                                                  AMAZONAS                                                                AM69082000 
RUA PEDESTRE                                                            COROADO                                                                 MANAUS                                                                  AMAZONAS                                                                AM69082482 
RUA EMANUEL FLÁVIO ESPÍRITO SANTO                                       DOM PEDRO                                                               MANAUS                                                                  AMAZONAS                                                                AM69040250 
ESTRADA PARQUE DAS NAÇÕES                                               FLORES                                                                  MANAUS                                                                  AMAZONAS                                                                AM69058423 
RUA OLÍMPIO DE CARVALHO                                                 GLÓRIA                                                                  MANAUS                                                                  AMAZONAS                                                                AM69027790 
RUA PRESIDENTE KENNEDY                                                  JAPIIM                                                                  MANAUS                                                                  AMAZONAS                                                                AM69076821 
TRAVESSA PORTO MARISCO                                                  JORGE TEIXEIRA                                                          MANAUS                                                                  AMAZONAS                                                                AM69088755 
RUA HORTELÃ                                                             JORGE TEIXEIRA                                                          MANAUS                                                                  AMAZONAS                                                                AM69088465 
RUA 21                                                                  LÍRIO DO VALE                                                           MANAUS                                                                  AMAZONAS                                                                AM69038293 
RUA JAQUETIBÁ                                                           MONTE DAS OLIVEIRAS                                                     MANAUS                                                                  AMAZONAS                                                                AM69093125 
RUA DUARTE GALVÃO                                                       NOVA ESPERANÇA                                                          MANAUS                                                                  AMAZONAS                                                                AM69037576 
TRAVESSA LUDWIG BEETHOVEN                                               PARQUE 10 DE NOVEMBRO                                                   MANAUS                                                                  AMAZONAS                                                                AM69054530 
RUA 31                                                                  PARQUE 10 DE NOVEMBRO                                                   MANAUS                                                                  AMAZONAS                                                                AM69055490 
RUA DOM JAKSON                                                          PETRÓPOLIS                                                              MANAUS                                                                  AMAZONAS                                                                AM69067091 
RUA CÁLI                                                                PLANALTO                                                                MANAUS                                                                  AMAZONAS                                                                AM69045290 
ALAMEDA IUGUSLÁVIA                                                      PONTA NEGRA                                                             MANAUS                                                                  AMAZONAS                                                                AM69037070 
CONJUNTO JARDIM BRASIL                                                  RAIZ                                                                    MANAUS                                                                  AMAZONAS                                                                AM69068060 
RUA 15                                                                  REDENÇÃO                                                                MANAUS                                                                  AMAZONAS                                                                AM69049490 
BECO SÃO JOSÉ                                                           SANTO AGOSTINHO                                                         MANAUS                                                                  AMAZONAS                                                                AM69036770 
BECO AMBRÓSIO AIRES                                                     SÃO JORGE                                                               MANAUS                                                                  AMAZONAS                                                                AM69033211 
RUA 6                                                                   SÃO JOSÉ OPERÁRIO                                                       MANAUS                                                                  AMAZONAS                                                                AM69086450 
BECO MAGALHÃES BARATA                                                   SÃO LÁZARO                                                              MANAUS                                                                  AMAZONAS                                                                AM69073283 
RUA SÃO FRANCISCO                                                       TANCREDO NEVES                                                          MANAUS                                                                  AMAZONAS                                                                AM69087460 
RUA IGARAPÉ                                                             ZUMBÍ DOS PALMARES                                                      MANAUS                                                                  AMAZONAS                                                                AM69084370 
RUA FORTALEZA                                                           PALMARES                                                                PARINTINS                                                               AMAZONAS                                                                AM69153020 
RUA GENÉSIO ALMEIDA NASCIMENTO                                          ALAGOINHAS VELHA                                                        ALAGOINHAS                                                              BAHIA                                                                   BA48030620 
RUA DOIS DE JULHO                                                       DOIS DE JULHO                                                           ALAGOINHAS                                                              BAHIA                                                                   BA48051001 
RUA AMAZONAS                                                            BOA VISTA                                                               BARREIRAS                                                               BAHIA                                                                   BA47806100 
TRAVESSA PLANALTO                                                       SANDRA REGINA                                                           BARREIRAS                                                               BAHIA                                                                   BA47803220 
TRAVESSA GETÚLIO VARGAS                                                 ALTO DA CRUZ                                                            CAMAÇARI                                                                BAHIA                                                                   BA42807450 
RUA MAIRI                                                               GLEBA A                                                                 CAMAÇARI                                                                BAHIA                                                                   BA42807280 
CAMINHO C-14                                                            NOVO HORIZONTE                                                          CAMAÇARI                                                                BAHIA                                                                   BA42801580 
VIA DE LIGAÇÃO                                                          POLO PETROQUÍMICO                                                       CAMAÇARI                                                                BAHIA                                                                   BA42810260 
RUA EGBERTO FERREIRA                                                    NOVA CANDEIAS                                                           CANDEIAS                                                                BAHIA                                                                   BA43815300 
RUA PEDRO ÁLVARES CABRAL                                                CENTRO                                                                  EUNÁPOLIS                                                               BAHIA                                                                   BA45820140 
RUA PATAXÓS                                                             PEQUI                                                                   EUNÁPOLIS                                                               BAHIA                                                                   BA45824320 
RUA CALDAS DO JORRO                                                     JARDIM SUCUPIRA                                                         FEIRA DE SANTANA                                                        BAHIA                                                                   BA44026240 
RUA IGUAPE                                                              CAMPO LIMPO                                                             FEIRA DE SANTANA                                                        BAHIA                                                                   BA44021460 
AVENIDA MARIA QUITÉRIA                                                  CAPUCHINHOS                                                             FEIRA DE SANTANA                                                        BAHIA                                                                   BA44052150 
CONJUNTO NILSON FALCÃO                                                  CENTRO                                                                  FEIRA DE SANTANA                                                        BAHIA                                                                   BA44025470 
RUA JUAZEIRO                                                            CIDADE NOVA                                                             FEIRA DE SANTANA                                                        BAHIA                                                                   BA44017070 
TRAVESSA GURUPÁ                                                         CORONEL JOSÉ PINTO                                                      FEIRA DE SANTANA                                                        BAHIA                                                                   BA44036590 
RUA J                                                                   EUCALIPTO                                                               FEIRA DE SANTANA                                                        BAHIA                                                                   BA44072060 
RUA PACOTE                                                              LAGOA GRANDE                                                            FEIRA DE SANTANA                                                        BAHIA                                                                   BA44045440 
RUA SENADOR QUINTINO                                                    OLHOS D'ÁGUA                                                            FEIRA DE SANTANA                                                        BAHIA                                                                   BA44070000 
TRAVESSA AMADO BAHIA                                                    PARQUE PANORAMA                                                         FEIRA DE SANTANA                                                        BAHIA                                                                   BA44064050 
RUA A                                                                   QUEIMADINHA                                                             FEIRA DE SANTANA                                                        BAHIA                                                                   BA44030360 
RUA PASSO ALEGRE                                                        SANTA MÔNICA                                                            FEIRA DE SANTANA                                                        BAHIA                                                                   BA44055110 
RUA JOAQUIM DE SOUZA COELHO                                             SOBRADINHO                                                              FEIRA DE SANTANA                                                        BAHIA                                                                   BA44022050 
TRAVESSA PINDORAMA                                                      TOMBA                                                                   FEIRA DE SANTANA                                                        BAHIA                                                                   BA44065350 
RUA DOM PEDRO II, 16                                                    CENTRO                                                                  ILHÉUS                                                                  BAHIA                                                                   BA45653914 
RUA BENJAMIN CONSTANT                                                   PONTAL                                                                  ILHÉUS                                                                  BAHIA                                                                   BA45654350 
RUA LIMEIRA                                                             CALIFÓRNIA                                                              ITABUNA                                                                 BAHIA                                                                   BA45604205 
LOTEAMENTO JUCA LEÃO                                                    CENTRO COMERCIAL                                                        ITABUNA                                                                 BAHIA                                                                   BA45601010 
RUA J                                                                   GOES CALMON                                                             ITABUNA                                                                 BAHIA                                                                   BA45605454 
RUA TRÊS                                                                MONTE LÍBANO                                                            ITABUNA                                                                 BAHIA                                                                   BA45603175 
RUA BRASÍLIA                                                            SANTA INÊS                                                              ITABUNA                                                                 BAHIA                                                                   BA45603840 
RUA SERRINHA                                                            SARINHA ALCÂNTARA                                                       ITABUNA                                                                 BAHIA                                                                   BA45608017 
RUA RIACHUELO                                                           CENTRO                                                                  JEQUIÉ                                                                  BAHIA                                                                   BA45200030 
RUA QUINTINO TELES                                                      JEQUIEZINHO                                                             JEQUIÉ                                                                  BAHIA                                                                   BA45204520 
RUA BRUNO NETO                                                          MANDACARU                                                               JEQUIÉ                                                                  BAHIA                                                                   BA45207330 
RUA NOVO MUNDO                                                          CORÉIA                                                                  JUAZEIRO                                                                BAHIA                                                                   BA48905170 
RUA CINCO                                                               LOMANTO JÚNIOR                                                          JUAZEIRO                                                                BAHIA                                                                   BA48905530 
RUA DO ESTUDANTE                                                        ABEL BARBOSA                                                            PAULO AFONSO                                                            BAHIA                                                                   BA48605210 
RUA PERPÉTUO SOCORRO                                                    JARDIM BAHIA                                                            PAULO AFONSO                                                            BAHIA                                                                   BA48604180 
RUA DO SOL                                                              VILA POTY                                                               PAULO AFONSO                                                            BAHIA                                                                   BA48601540 
TRAVESSA MENEZES                                                        ÁGUAS CLARAS                                                            SALVADOR                                                                BAHIA                                                                   BA41310480 
CAMINHO 3                                                               ÁGUAS CLARAS                                                            SALVADOR                                                                BAHIA                                                                   BA41311040 
TRAVESSA DA BÉLGICA                                                     ALTO DO COQUEIRINHO                                                     SALVADOR                                                                BAHIA                                                                   BA41615180 
AVENIDA MARIA FRANCISCA                                                 ALTO DO PERU                                                            SALVADOR                                                                BAHIA                                                                   BA40349590 
RUA OURO BRANCO                                                         ARENOSO                                                                 SALVADOR                                                                BAHIA                                                                   BA41211215 
RUA PARANGABÁ                                                           ARMAÇÃO                                                                 SALVADOR                                                                BAHIA                                                                   BA41750115 
RUA FLOR DAS BARREIRAS                                                  ARRAIAL DO RETIRO                                                       SALVADOR                                                                BAHIA                                                                   BA41204117 
RUA DOS CAJUEIROS                                                       BARRAGEM DE IPITANGA                                                    SALVADOR                                                                BAHIA                                                                   BA41410060 
TRAVESSA SALOMÃO BARROS                                                 BARREIRAS                                                               SALVADOR                                                                BAHIA                                                                   BA41195715 
LOTEAMENTO JARDIM PITUAÇU                                               BOCA DO RIO                                                             SALVADOR                                                                BAHIA                                                                   BA41710805 
TRAVESSA ALTO DA BELA VISTA                                             BOCA DO RIO                                                             SALVADOR                                                                BAHIA                                                                   BA41706220 
AVENIDA DOM JOÃO VI                                                     BROTAS                                                                  SALVADOR                                                                BAHIA                                                                   BA40285000 
RUA ANTÔNIO LUIZ BARRETO                                                CAIXA D'ÁGUA                                                            SALVADOR                                                                BAHIA                                                                   BA40323015 
CONJUNTO CAJAZEIRAS VIII                                                CAJAZEIRAS                                                              SALVADOR                                                                BAHIA                                                                   BA41330020 
CAMINHO 10-NÚCLEO C                                                     CAJAZEIRAS                                                              SALVADOR                                                                BAHIA                                                                   BA41338390 
CAMINHO 67-QUADRA D                                                     CAJAZEIRAS                                                              SALVADOR                                                                BAHIA                                                                   BA41343465 
CAMINHO 2-QUADRA C                                                      CAJAZEIRAS                                                              SALVADOR                                                                BAHIA                                                                   BA41342245 
RUA TRÊS PODERES                                                        CAJAZEIRAS                                                              SALVADOR                                                                BAHIA                                                                   BA41334318 
